Species,Assembly name,Species_Tree,Taxonomic Lineage
Orycteropus_afer_afer,HLoryAfeAfe2,Orycteropus_afer,Mammalia; Theria; Eutheria; Afrotheria; Tubulidentata; Orycteropodidae; Orycteropus; Orycteropus afer
Orycteropus_afer_afer,oryAfe1,Orycteropus_afer,Mammalia; Theria; Eutheria; Afrotheria; Tubulidentata; Orycteropodidae; Orycteropus; Orycteropus afer
Oryctolagus_cuniculus,HLoryCun3,Oryctolagus_cuniculus,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus
Oryctolagus_cuniculus,oryCun2,Oryctolagus_cuniculus,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus
Otolemur_garnettii,otoGar3,Otolemur_garnettii,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lorisiformes; Galagidae; Otolemur
Ovis_aries,HLoviAri5,Ovis_aries,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis
Ovis_canadensis,HLoviCan2,Ovis_canadensis,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis
Pan_paniscus,panPan3,Pan_paniscus,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan
Pan_troglodytes,panTro6,Pan_troglodytes,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan
Panthera_onca,HLpanOnc1,Panthera_onca,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera
Panthera_onca,HLpanOnc2,Panthera_onca,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera
Panthera_pardus,HLpanPar1,Panthera_pardus,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera
